evt_block_timestamp,block_number,num_minted_in_block,remaining_supply
1642153585,14002903,1,85
1642153592,14002904,1,84
1642153662,14002908,1,83
1642153973,14002926,1,82
1642154008,14002930,1,81
1642154030,14002933,1,80
1642154116,14002941,1,79
1642154153,14002942,1,78
1642154620,14002989,1,77
1642155024,14003025,1,76
1642155902,14003079,1,75
1642155938,14003085,1,74
1642156040,14003095,1,73
1642156151,14003102,1,72
1642156822,14003150,1,71
1642157068,14003167,2,69
1642157389,14003198,1,68
1642157926,14003245,1,67
1642159046,14003323,1,66
1642159861,14003382,1,65
1642165545,14003797,1,64
1642165901,14003822,1,63
1642165936,14003825,1,62
1642168061,14003959,1,61
1642168120,14003970,1,60
1642169196,14004052,1,59
1642169861,14004104,1,58
1642170807,14004171,1,57
1642171062,14004188,1,56
1642171663,14004240,1,55
1642171975,14004263,1,54
1642172333,14004287,1,53
1642173210,14004354,1,52
1642174147,14004435,1,51
1642176112,14004591,1,50
1642176652,14004629,1,49
1642176716,14004632,1,48
1642178133,14004735,1,47
1642181392,14004984,1,46
1642181473,14004993,1,45
1642181556,14004999,1,44
1642201316,14006476,1,43
1642204632,14006701,1,42
1642204961,14006722,1,41
1642205994,14006786,1,40
1642209214,14007041,1,39
1642213853,14007404,1,38
1642214677,14007464,1,37
1642217464,14007664,1,36
1642220889,14007908,1,35
1642228754,14008511,1,34
1642228830,14008518,1,33
1642233938,14008863,1,32
1642234125,14008877,1,31
1642235703,14008986,1,30
1642237665,14009132,1,29
1642239360,14009253,1,28
1642246251,14009743,1,27
1642246624,14009778,1,26
1642253428,14010300,1,25
1642253674,14010316,1,24
1642263662,14011071,1,23
1642264195,14011105,1,22
1642264214,14011106,1,21
1642264518,14011127,1,20
1642268416,14011446,1,19
1642268511,14011450,1,18
1642270090,14011555,1,17
1642611165,14037130,1,16
1642611333,14037142,1,15
1642611995,14037206,1,14
1642612732,14037262,2,12
1642613232,14037303,1,11
1642613237,14037304,1,10
1642613728,14037352,1,9
1642619016,14037734,1,8
1642619127,14037742,1,7
1642634281,14038922,1,6
1642640806,14039411,1,5
1642653445,14040302,1,4
1642669429,14041486,1,3
1642692700,14043268,1,2
1642699842,14043816,1,1
1642700044,14043833,1,0
