evt_block_timestamp,block_number,num_minted_in_block,remaining_supply
1650125921,14597368,55,3550
1650125942,14597369,45,3505
1650125970,14597370,4,3501
1650125978,14597371,12,3489
1650125995,14597372,29,3460
1650126002,14597373,6,3454
1650126003,14597374,2,3452
1650126007,14597375,44,3408
1650126036,14597376,7,3401
1650126040,14597377,5,3396
1650126049,14597378,52,3344
1650126067,14597379,7,3337
1650126070,14597380,3,3334
1650126071,14597381,57,3277
1650126076,14597382,33,3244
1650126092,14597383,5,3239
1650126096,14597384,89,3150
1650126097,14597385,6,3144
1650126100,14597386,15,3129
1650126103,14597387,59,3070
1650126105,14597388,2,3068
1650126112,14597389,10,3058
1650126118,14597390,3,3055
1650126119,14597391,136,2919
1650126123,14597392,32,2887
1650126163,14597393,43,2844
1650126169,14597394,2,2842
1650126181,14597395,34,2808
1650126192,14597396,13,2795
1650126202,14597398,7,2788
1650126204,14597399,5,2783
1650126207,14597400,18,2765
1650126217,14597401,24,2741
1650126256,14597402,30,2711
1650126268,14597403,17,2694
1650126278,14597404,2,2692
1650126284,14597405,11,2681
1650126291,14597406,26,2655
1650126307,14597407,5,2650
1650126313,14597408,8,2642
1650126327,14597409,3,2639
1650126330,14597410,9,2630
1650126336,14597411,3,2627
1650126337,14597412,83,2544
1650126354,14597413,15,2529
1650126358,14597414,12,2517
1650126365,14597415,13,2504
1650126376,14597416,7,2497
1650126378,14597417,69,2428
1650126389,14597418,8,2420
1650126399,14597419,5,2415
1650126402,14597420,32,2383
1650126404,14597421,49,2334
1650126418,14597422,7,2327
1650126432,14597423,22,2305
1650126452,14597424,8,2297
1650126459,14597425,5,2292
1650126463,14597426,15,2277
1650126473,14597427,23,2254
1650126508,14597428,21,2233
1650126540,14597429,18,2215
1650126544,14597431,4,2211
1650126569,14597433,22,2189
1650126586,14597434,10,2179
1650126593,14597435,13,2166
1650126604,14597436,2,2164
1650126609,14597437,22,2142
1650126635,14597438,9,2133
1650126638,14597439,15,2118
1650126656,14597440,2,2116
1650126662,14597441,10,2106
1650126675,14597442,4,2102
1650126677,14597443,9,2093
1650126695,14597444,4,2089
1650126698,14597445,17,2072
1650126716,14597446,13,2059
1650126736,14597448,4,2055
1650126741,14597449,20,2035
1650126752,14597450,3,2032
1650126754,14597451,7,2025
1650126762,14597452,1,2024
1650126765,14597453,99,1925
1650126773,14597454,20,1905
1650126792,14597455,4,1901
1650126808,14597456,12,1889
1650126811,14597457,19,1870
1650126838,14597458,17,1853
1650126860,14597459,9,1844
1650126877,14597460,10,1834
1650126899,14597461,12,1822
1650126918,14597462,4,1818
1650126929,14597463,6,1812
1650126935,14597464,3,1809
1650126942,14597465,2,1807
1650126946,14597466,1,1806
1650126947,14597467,14,1792
1650127009,14597468,28,1764
1650127013,14597469,17,1747
1650127046,14597470,7,1740
1650127075,14597471,8,1732
1650127082,14597472,6,1726
1650127096,14597473,13,1713
1650127141,14597474,13,1700
1650127155,14597476,2,1698
1650127167,14597477,8,1690
1650127180,14597478,12,1678
1650127188,14597479,9,1669
1650127199,14597480,1,1668
1650127202,14597481,4,1664
1650127207,14597482,1,1663
1650127211,14597483,10,1653
1650127219,14597484,18,1635
1650127245,14597485,8,1627
1650127260,14597486,8,1619
1650127277,14597487,14,1605
1650127311,14597488,1,1604
1650127323,14597489,12,1592
1650127325,14597490,3,1589
1650127328,14597491,9,1580
1650127338,14597492,1,1579
1650127344,14597493,24,1555
1650127375,14597494,4,1551
1650127383,14597495,16,1535
1650127405,14597496,8,1527
1650127418,14597497,4,1523
1650127428,14597498,11,1512
1650127465,14597499,7,1505
1650127476,14597500,4,1501
1650127485,14597501,2,1499
1650127489,14597502,6,1493
1650127491,14597503,4,1489
1650127500,14597504,3,1486
1650127504,14597505,28,1458
1650127524,14597506,8,1450
1650127535,14597507,10,1440
1650127548,14597508,6,1434
1650127568,14597509,4,1430
1650127591,14597510,2,1428
1650127593,14597511,15,1413
1650127617,14597512,5,1408
1650127624,14597513,1,1407
1650127636,14597514,7,1400
1650127646,14597515,1,1399
1650127653,14597516,11,1388
1650127668,14597517,2,1386
1650127670,14597518,3,1383
1650127676,14597519,15,1368
1650127691,14597520,3,1365
1650127698,14597522,30,1335
1650127706,14597523,11,1324
1650127723,14597524,6,1318
1650127744,14597525,2,1316
1650127749,14597527,6,1310
1650127762,14597528,13,1297
1650127786,14597529,3,1294
1650127789,14597530,4,1290
1650127806,14597531,1,1289
1650127810,14597532,34,1255
1650127820,14597533,1,1254
1650127825,14597534,14,1240
1650127854,14597535,7,1233
1650127867,14597536,11,1222
1650127888,14597537,7,1215
1650127903,14597538,3,1212
1650127919,14597539,2,1210
1650127925,14597540,7,1203
1650127939,14597541,13,1190
1650127962,14597542,5,1185
1650127988,14597543,2,1183
1650127991,14597545,1,1182
1650127992,14597546,31,1151
1650127998,14597547,3,1148
1650128004,14597548,2,1146
1650128008,14597549,9,1137
1650128010,14597550,2,1135
1650128013,14597551,7,1128
1650128025,14597552,12,1116
1650128059,14597553,5,1111
1650128101,14597555,1,1110
1650128134,14597556,11,1099
1650128141,14597557,1,1098
1650128145,14597558,9,1089
1650128177,14597559,1,1088
1650128183,14597560,6,1082
1650128205,14597561,2,1080
1650128208,14597562,8,1072
1650128216,14597564,6,1066
1650128236,14597567,9,1057
1650128258,14597568,1,1056
1650128267,14597569,4,1052
1650128276,14597570,9,1043
1650128319,14597572,8,1035
1650128379,14597573,16,1019
1650128382,14597574,1,1018
1650128385,14597575,5,1013
1650128409,14597576,2,1011
1650128428,14597577,8,1003
1650128444,14597578,8,995
1650128477,14597579,9,986
1650128489,14597580,1,985
1650128494,14597581,6,979
1650128506,14597582,5,974
1650128527,14597583,3,971
1650128543,14597584,7,964
1650128588,14597585,10,954
1650128603,14597586,1,953
1650128606,14597587,1,952
1650128632,14597588,1,951
1650128636,14597589,2,949
1650128658,14597591,1,948
1650128663,14597592,2,946
1650128665,14597593,5,941
1650128682,14597595,1,940
1650128684,14597596,6,934
1650128692,14597597,2,932
1650128696,14597598,1,931
1650128700,14597599,5,926
1650128705,14597601,2,924
1650128723,14597602,8,916
1650128732,14597603,1,915
1650128737,14597605,6,909
1650128756,14597607,2,907
1650128760,14597608,5,902
1650128768,14597609,3,899
1650128771,14597610,2,897
1650128803,14597611,4,893
1650128826,14597612,3,890
1650128849,14597613,6,884
1650128852,14597614,4,880
1650128877,14597615,10,870
1650128905,14597616,2,868
1650128938,14597619,3,865
1650128942,14597620,7,858
1650128955,14597622,10,848
1650128973,14597623,6,842
1650128994,14597625,3,839
1650129000,14597626,3,836
1650129004,14597627,2,834
1650129009,14597628,1,833
1650129012,14597629,2,831
1650129015,14597630,2,829
1650129017,14597631,3,826
1650129039,14597632,1,825
1650129049,14597633,3,822
1650129065,14597636,3,819
1650129134,14597638,8,811
1650129139,14597639,1,810
1650129163,14597642,1,809
1650129185,14597644,2,807
1650129202,14597646,1,806
1650129228,14597647,2,804
1650129239,14597648,1,803
1650129247,14597649,1,802
1650129255,14597650,4,798
1650129281,14597651,3,795
1650129335,14597654,5,790
1650129356,14597655,1,789
1650129357,14597656,3,786
1650129390,14597658,1,785
1650129394,14597660,7,778
1650129404,14597661,4,774
1650129417,14597662,5,769
1650129448,14597663,1,768
1650129459,14597664,4,764
1650129469,14597665,5,759
1650129516,14597666,5,754
1650129537,14597668,4,750
1650129563,14597669,5,745
1650129592,14597671,8,737
1650129604,14597672,3,734
1650129619,14597673,8,726
1650129655,14597675,1,725
1650129737,14597676,5,720
1650129760,14597677,3,717
1650129776,14597678,2,715
1650129799,14597681,2,713
1650129806,14597682,2,711
1650129813,14597683,4,707
1650129828,14597685,4,703
1650129832,14597687,7,696
1650129860,14597688,5,691
1650129873,14597691,5,686
1650129891,14597692,1,685
1650129896,14597693,4,681
1650129898,14597694,2,679
1650129937,14597695,4,675
1650129941,14597696,2,673
1650129955,14597697,1,672
1650129975,14597699,3,669
1650130011,14597700,2,667
1650130024,14597703,2,665
1650130025,14597704,2,663
1650130054,14597706,3,660
1650130061,14597707,2,658
1650130070,14597708,3,655
1650130079,14597709,4,651
1650130146,14597710,2,649
1650130150,14597711,4,645
